(28, 22)
(28, 47)
(28, 64)
(28, 137)
(28, 155)
(28, 173)
(28, 191)

(40, 155)
(40, 173)

(58, 22)
(58, 47)
(58, 64)
(58, 101)
(58, 137)
(58, 155)
(58, 173)

(76, 47)
(76, 64)
(76, 83)
(76, 101)
(76, 119)
(76, 137)
(76, 155)
(76, 173)

(94, 22)
(94, 47)
(94, 64)
(94, 83)
(94, 137)
(94, 155)
(94, 173)
(94, 191)

(112, 22)
(112, 47)
(112, 64)
(112, 83)
(112, 137)
(112, 155)
(112, 173)
(112, 191)

(130, 47)
(130, 64)
(130, 83)
(130, 101)
(130, 119)
(130, 137)
(130, 155)
(130, 173)

(147, 22)
(147, 47)
(147, 64)
(147, 101)
(147, 137)
(147, 155)
(147, 173)

(166, 155)
(166, 173)

(178, 22)
(178, 47)
(178, 64)
(178, 137)
(178, 155)
(178, 173)
(178, 191)
